result_type	grain	official_excel_billing_month	source_file	charge_type	rule_id	row_count	distinct_imsi_count	excel_amount	platform_calculated_amount	amount_diff	days_exact_row_count	price_exact_row_count	amount_exact_row_count	numeric_matched_row_count	formal_matched_row_count	wa_only_imsi_count	unresolved_imsi_count	missing_data_imsi_count	missing_mapping_imsi_count	missing_platform_amount_row_count	unresolved_or_unproven_excel_amount	days_exact_rate	price_exact_rate	amount_exact_rate	numeric_match_rate	formal_match_rate
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Full Rate	R_FULL_CYCLE_PRICE	12602	12602				12455	11749	11749	110	0	0	12492	0	110			0.9883351848912871	0.932312331375972	0.932312331375972	0.008728773210601492	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Partial Charge (Activated AUG)	R_PARTIAL_LIFECYCLE_DAYS_ACTIVATION_MONTH	11484	11484				11389	11036	10941	10769	0	0	172	0	11312			0.9917276210379659	0.9609892023685127	0.9527168234064786	0.9377394636015326	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Prorated-in Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	1085	1085				916	810	641	591	0	0	50	0	1035			0.8442396313364056	0.7465437788018433	0.5907834101382489	0.5447004608294931	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-09	006-V2 - SIMO Data Purchase Invoice Details - SEP 2025.xlsx	Prorated-out Charge (Activated SEPT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	66	66				66	66	66	0	0	0	66	0	0			1.0	1.0	1.0	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Credit for Offstocked Card	R_CREDIT_REQUIRES_CREDIT_EVIDENCE	37	37				0	0	0	0	0	37	0	0	0			0.0	0.0	0.0	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	12573	12573				9847	11449	11449	0	0	0	12573	0	0			0.7831861926350115	0.9106020838304303	0.9106020838304303	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	72	72				68	72	66	66	0	0	0	0	72			0.9444444444444444	1.0	0.9166666666666666	0.9166666666666666	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v1)	01-INVOICE_FROM_ WA_USD_772,765.00_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Prorated-out Charge (Activated OCT)	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	32	32				32	31	31	0	0	0	32	0	0			1.0	0.96875	0.96875	0.0	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	Full Cycle Charge	R_FULL_CYCLE_PRICE	12641	12641				12120	11168	11168	226	0	0	11681	0	960			0.9587849062574163	0.8834744086702001	0.8834744086702001	0.01787833241041057	0.0
CHARGE_TYPE_IMSI_METRICS	distinct_imsi_card	2025-10 (v2)	01-1-INVOICE_FROM_ WA_USD_773,793.84_SIMO Data Purchase Invoice Details - OCT 2025.xlsx	New Activation: Prorated-in Charge	R_PRORATED_LIFECYCLE_DAYS_ACTIVATION_MONTH	22	22				6	20	0	0	0	0	1	0	21			0.2727272727272727	0.9090909090909091	0.0	0.0	0.0
